country,region,continent
Norway,Europe: Western,Europe
Ireland,Europe: Western,Europe
Switzerland,Europe: Western,Europe
Iceland,Europe: Western,Europe
Germany,Europe: Western,Europe
Sweden,Europe: Western,Europe
Australia,Oceania,Oceania
Netherlands,Europe: Western,Europe
Denmark,Europe: Western,Europe
Finland,Europe: Western,Europe
Singapore,Asia: South-Eastern,Asia
United Kingdom,Europe: Western,Europe
Belgium,Europe: Western,Europe
New Zealand,Oceania,Oceania
Canada,America: Northern,America
USA,America: Northern,America
Austria,Europe: Western,Europe
Israel,Asia: Western,Asia
Japan,Asia: Eastern,Asia
Slovenia,Europe: Southern,Europe
North Korea,Asia: Eastern,Asia
Luxembourg,Europe: Western,Europe
South Korea,Asia: Eastern,Asia
Spain,Europe: Southern,Europe
France,Europe: Western,Europe
Czech Republic,Europe: Eastern,Europe
Malta,Europe: Southern,Europe
Estonia,Europe: Western,Europe
Italy,Europe: Southern,Europe
United Arab Emirates,Asia: Western,Asia
Greece,Europe: Southern,Europe
Cyprus,Asia: Western,Asia
Lithuania,Europe: Western,Europe
Poland,Europe: Eastern,Europe
Latvia,Europe: Western,Europe
Portugal,Europe: Southern,Europe
Slovakia,Europe: Eastern,Europe
Hungary,Europe: Eastern,Europe
Saudi Arabia,Asia: Western,Asia
Bahrain,Asia: Western,Asia
Chile,America: South,America
Croatia,Europe: Southern,Europe
Qatar,Asia: Western,Asia
Argentina,America: South,America
Brunei,Asia: South-Eastern,Asia
Montenegro,Europe: Southern,Europe
Romania,Europe: Eastern,Europe
Kazakhstan,Asia: Central,Asia
DR Congo,Africa: Middle,Africa
Russian Federation,Europe: Eastern,Europe
Belarus,Europe: Eastern,Europe
Turkey,Asia: Western,Asia
Uruguay,America: South,America
Bulgaria,Europe: Eastern,Europe
Panama,America: Central,America
Bahamas,America: Caribbean,America
Barbados,America: Caribbean,America
Oman,Asia: Western,Asia
Georgia,Asia: Western,Asia
Costa Rica,America: Central,America
Malaysia,Asia: South-Eastern,Asia
Kuwait,Asia: Western,Asia
Serbia,Europe: Southern,Europe
Mauritius,Africa: Eastern,Africa
Seychelles,Africa: Eastern,Africa
Albania,Europe: Southern,Europe
Cuba,America: Caribbean,America
Iran,Asia: Southern,Asia
Sri Lanka,Asia: Southern,Asia
Bosnia-Herzegovina,Europe: Southern,Europe
Grenada,America: Caribbean,America
Mexico,America: Central,America
Ukraine,Europe: Eastern,Europe
Antigua & Barbuda,America: Caribbean,America
Peru,America: South,America
Thailand,Asia: South-Eastern,Asia
Armenia,Asia: Western,Asia
Colombia,America: South,America
Brazil,America: South,America
China,Asia: Eastern,Asia
Ecuador,America: South,America
St. Lucia,America: Caribbean,America
Azerbaijan,Asia: Western,Asia
