Country Name,Unemployement rate
Aruba,
Africa Eastern and Southern,6.952042865
Afghanistan,9.598500061
Africa Western and Central,4.262916185
Angola,9.298181837
Albania,14.22999998
Andorra,
Arab World,10.77373873
United Arab Emirates,2.38381816
Argentina,8.364818226
Armenia,12.13400008
American Samoa,
Antigua and Barbuda,
Australia,5.584545439
Austria,5.318181775
Azerbaijan,5.300909042
Burundi,1.304090906
Belgium,7.104545507
Benin,1.939090913
Burkina Faso,4.451818119
Bangladesh,4.439181805
Bulgaria,8.235454603
Bahrain,1.260545449
"Bahamas, The",12.50936369
Bosnia and Herzegovina,22.58954551
Belarus,5.311000044
Belize,8.391272762
Bermuda,
Bolivia,3.56636366
Brazil,10.3336365
Barbados,9.962454449
Brunei Darussalam,7.542999961
Bhutan,3.097090916
Botswana,19.48363651
Central African Republic,5.769454566
Canada,7.040000005
Central Europe and the Baltics,6.84840413
Switzerland,4.729090907
Channel Islands,7.99154546
Chile,7.450000026
China,4.587272731
Cote d'Ivoire,3.703545451
Cameroon,3.728363644
"Congo, Dem. Rep.",4.560454499
"Congo, Rep.",20.78718185
Colombia,10.12181802
Comoros,8.065363624
Cabo Verde,12.19645457
Costa Rica,10.08909108
Caribbean small states,8.233954773
Cuba,2.227545489
Curacao,
Cayman Islands,
Cyprus,11.00181822
Czechia,4.386363658
Germany,4.350000013
Djibouti,26.73890929
Dominica,
Denmark,6.25727272
Dominican Republic,6.67909089
Algeria,10.69181815
East Asia & Pacific (excluding high income),4.043357116
Early-demographic dividend,6.849869416
East Asia & Pacific,4.006324743
Europe & Central Asia (excluding high income),7.370127337
Europe & Central Asia,7.933934407
Ecuador,3.93272725
"Egypt, Arab Rep.",11.00172723
Euro area,9.631783705
Eritrea,5.970636411
Spain,19.57181809
Estonia,7.31727275
Ethiopia,2.891090913
European Union,8.910807628
Fragile and conflict affected situations,5.846861881
Finland,8.052727309
Fiji,4.434272723
France,9.230000106
Faroe Islands,
"Micronesia, Fed. Sts.",
Gabon,20.8167272
United Kingdom,5.548000054
Georgia,15.57890901
Ghana,3.998545408
Gibraltar,
Guinea,5.074363665
"Gambia, The",6.509363695
Guinea-Bissau,3.243454565
Equatorial Guinea,8.389545441
Greece,21.25545458
Grenada,
Greenland,
Guatemala,2.719636354
Guam,7.834636385
Guyana,13.50027284
High income,6.46557792
"Hong Kong SAR, China",3.630909096
Honduras,6.287000049
Heavily indebted poor countries (HIPC),4.756500852
Croatia,12.2554548
Haiti,14.15836378
Hungary,6.495454571
IBRD only,6.353855027
IDA & IBRD total,5.997636369
IDA total,4.666579606
IDA blend,4.385683874
Indonesia,4.241818211
IDA only,4.795613482
Isle of Man,
India,7.985363613
Not classified,
Ireland,9.443636244
"Iran, Islamic Rep.",11.40890902
Iraq,12.00745444
Iceland,4.610909137
Israel,5.165363594
Italy,10.71454525
Jamaica,7.573909023
Jordan,15.34490897
Japan,3.300000017
Kazakhstan,5.039272698
Kenya,3.718090946
Kyrgyz Republic,3.672181823
Cambodia,0.395454545
Kiribati,
St. Kitts and Nevis,
"Korea, Rep.",3.420000011
Kuwait,2.444909117
Latin America & Caribbean (excluding high income),7.649514605
Lao PDR,2.622818167
Lebanon,9.904636253
Liberia,2.80172723
Libya,19.62563636
St. Lucia,19.52890899
Latin America & Caribbean,7.591401491
Least developed countries: UN classification,4.897083678
Low income,5.041564089
Liechtenstein,
Sri Lanka,4.424454516
Lower middle income,6.231214956
Low & middle income,5.966202675
Lesotho,17.15627254
Late-demographic dividend,5.215866973
Lithuania,9.389090972
Luxembourg,5.765454552
Latvia,10.14000004
"Macao SAR, China",2.014818181
St. Martin (French part),
Morocco,9.541090879
Monaco,
Moldova,4.432727229
Madagascar,1.743545435
Maldives,6.651454492
Middle East & North Africa,10.0444789
Mexico,4.241818146
Marshall Islands,
Middle income,6.043986444
North Macedonia,24.06181795
Mali,1.732272701
Malta,4.877272736
Myanmar,0.867899999
Middle East & North Africa (excluding high income),11.63139442
Montenegro,17.60363613
Mongolia,5.574818221
Northern Mariana Islands,
Mozambique,3.479090886
Mauritania,10.34354548
Mauritius,7.247818123
Malawi,5.09718184
Malaysia,3.389636365
North America,6.117920269
Namibia,20.18790921
New Caledonia,13.20699995
Niger,0.76827273
Nigeria,4.611545433
Nicaragua,5.061818188
Netherlands,5.31090912
Norway,3.877272714
Nepal,10.92818182
Nauru,
New Zealand,5.164545384
OECD members,6.787465848
Oman,3.000363643
Other small states,9.943401143
Pakistan,3.680272758
Panama,6.033727299
Peru,3.940909082
Philippines,2.931090875
Palau,
Papua New Guinea,2.536090873
Poland,6.476363594
Pre-demographic dividend,5.245479664
Puerto Rico,11.57181822
"Korea, Dem. People's Rep.",2.921909116
Portugal,10.68363632
Paraguay,5.478181882
West Bank and Gaza,23.06545466
Pacific island small states,3.092701468
Post-demographic dividend,6.660671078
French Polynesia,12.36418195
Qatar,0.227272728
Romania,5.839090932
Russian Federation,5.327272719
Rwanda,12.17636368
South Asia,7.18199546
Saudi Arabia,5.955636285
Sudan,17.79854549
Senegal,5.883727204
Singapore,3.787363594
Solomon Islands,0.838818176
Sierra Leone,3.945090901
El Salvador,4.212727308
San Marino,
Somalia,19.12627272
Serbia,16.08454531
Sub-Saharan Africa (excluding high income),5.960611135
South Sudan,12.47763642
Sub-Saharan Africa,5.960611135
Small states,9.242978547
Sao Tome and Principe,14.12190905
Suriname,7.890272791
Slovak Republic,10.00636365
Slovenia,7.233636379
Sweden,7.556363626
Eswatini,23.94181824
Sint Maarten (Dutch part),
Seychelles,
Syrian Arab Republic,8.967000008
Turks and Caicos Islands,
Chad,1.165818182
East Asia & Pacific (IDA & IBRD countries),4.058877616
Europe & Central Asia (IDA & IBRD countries),7.271994724
Togo,2.980636358
Thailand,0.706545456
Tajikistan,7.965272817
Turkmenistan,4.256272706
Latin America & the Caribbean (IDA & IBRD countries),7.665007986
Timor-Leste,4.396545432
Middle East & North Africa (IDA & IBRD countries),11.51640249
Tonga,2.040363615
South Asia (IDA & IBRD),7.18199546
Sub-Saharan Africa (IDA & IBRD countries),5.960611135
Trinidad and Tobago,3.349454555
Tunisia,15.94790901
Turkiye,10.64636352
Tuvalu,
Tanzania,2.561454556
Uganda,3.343363664
Ukraine,8.737272783
Upper middle income,5.867229595
Uruguay,7.78727267
United States,6.00363636
Uzbekistan,5.358545477
St. Vincent and the Grenadines,19.2452729
"Venezuela, RB",6.224090966
British Virgin Islands,
Virgin Islands (U.S.),12.39100023
Vietnam,1.590909091
Vanuatu,1.844636364
World,6.059892998
Samoa,8.828636386
Kosovo,
"Yemen, Rep.",13.37309083
South Africa,23.78272768
Zambia,7.507818222
Zimbabwe,6.158999963
